club,club_type,target_distance,power_percent,power_range,final_distance,error,abs_error,iterations,found,reachable
3W,wood,80,0.4328125,82.234375,80.29931138560883,-0.2993113856088314,0.2993113856088314,8,True,True
3W,wood,90,0.46093750000000006,87.57812500000001,90.4665734789834,-0.4665734789834062,0.4665734789834062,8,True,True
3W,wood,100,0.4890625,92.921875,99.70440978489414,0.2955902151058609,0.2955902151058609,8,True,True
3W,wood,110,0.51484375,97.82031250000001,110.24391241169012,-0.24391241169011835,0.24391241169011835,9,True,True
3W,wood,120,0.540625,102.71875,119.6749299114336,0.32507008856640596,0.32507008856640596,7,True,True
3W,wood,130,0.5687500000000001,108.06250000000001,129.84124414094518,0.15875585905482126,0.15875585905482126,6,True,True
3W,wood,140,0.5933593750000001,112.73828125000003,139.5391494851396,0.46085051486039674,0.46085051486039674,10,True,True
3W,wood,150,0.6182617187499999,117.46972656249999,149.51543789842606,0.4845621015739425,0.4845621015739425,12,True,True
3W,wood,160,0.642578125,122.08984375,159.56949867098052,0.4305013290194779,0.4305013290194779,10,True,True
3W,wood,170,0.6671875,126.76562500000001,169.87356786068867,0.12643213931133346,0.12643213931133346,8,True,True
3W,wood,180,0.690625,131.21875,180.09113391732328,-0.09113391732327614,0.09113391732327614,7,True,True
3W,wood,190,0.7140625,135.671875,190.4626004257709,-0.4626004257708871,0.4626004257708871,8,True,True
3W,wood,210,0.7609375,144.578125,209.85404987212252,0.14595012787748374,0.14595012787748374,8,True,True
3W,wood,220,0.7820312500000002,148.58593750000003,220.05367389576713,-0.05367389576713322,0.05367389576713322,9,True,True
3W,wood,230,0.8078125,153.484375,229.64226338582856,0.35773661417144353,0.35773661417144353,8,True,True
3W,wood,240,0.8289062500000001,157.4921875,240.0293508048523,-0.02935080485229946,0.02935080485229946,9,True,True
3W,wood,260,0.8734375000000001,165.95312500000003,259.7491488577626,0.25085114223742266,0.25085114223742266,8,True,True
3W,wood,270,0.8992187500000001,170.8515625,269.5995490545372,0.4004509454628078,0.4004509454628078,9,True,True
3W,wood,280,0.9203125000000001,174.85937500000003,280.26367351265253,-0.2636735126525309,0.2636735126525309,8,True,True
3W,wood,290,0.9437500000000001,179.31250000000003,289.6465430985054,0.35345690149461007,0.35345690149461007,6,True,True
3W,wood,310,0.990625,188.21875,310.41852510434467,-0.41852510434466694,0.41852510434466694,7,True,True
2I,iron,50,0.334375,60.18749999999999,50.24158841706894,-0.24158841706893952,0.24158841706893952,7,True,True
2I,iron,60,0.36718750000000006,66.09375000000001,59.94091528142564,0.05908471857436126,0.05908471857436126,8,True,True
2I,iron,70,0.4,72.0,70.34824651090561,-0.34824651090561076,0.34824651090561076,2,True,True
2I,iron,80,0.4287109375,77.16796875,79.5808398180362,0.4191601819638038,0.4191601819638038,11,True,True
